time,open,high,low,close,"EU03MY, TVC: Open","EU03MY, TVC: High","EU03MY, TVC: Low","EU03MY, TVC: Close"
2013-04-02T21:00:00Z,0.316,0.316,0.316,0.316,0.011,0.011,0.011,0.011
2013-04-03T21:00:00Z,0.282,0.282,0.282,0.282,0.011,0.011,0.011,0.011
2013-04-04T21:00:00Z,0.289,0.289,0.289,0.289,0.011,0.011,0.011,0.011
2013-04-07T21:00:00Z,0.318,0.318,0.318,0.318,0.011,0.011,0.011,0.011
2013-04-08T21:00:00Z,0.331,0.331,0.331,0.331,0.012,0.012,0.012,0.012
2013-04-09T21:00:00Z,0.365,0.365,0.365,0.365,0.012,0.012,0.012,0.012
2013-04-10T21:00:00Z,0.363,0.363,0.363,0.363,0.012,0.012,0.012,0.012
2013-04-11T21:00:00Z,0.318,0.318,0.318,0.318,0.013,0.013,0.013,0.013
2013-04-14T21:00:00Z,0.308,0.308,0.308,0.308,0.013,0.013,0.013,0.013
2013-04-15T21:00:00Z,0.337,0.337,0.337,0.337,-0.007,-0.007,-0.007,-0.007
2013-04-16T21:00:00Z,0.294,0.294,0.294,0.294,-0.001,-0.001,-0.001,-0.001
2013-04-17T21:00:00Z,0.306,0.306,0.306,0.306,-0.002,-0.002,-0.002,-0.002
2013-04-18T21:00:00Z,0.328,0.328,0.328,0.328,NaN,NaN,NaN,NaN
2013-04-21T21:00:00Z,0.299,0.299,0.299,0.299,0.015,0.015,0.015,0.015
2013-04-22T21:00:00Z,0.324,0.324,0.324,0.324,0.001,0.001,0.001,0.001
2013-04-23T21:00:00Z,0.314,0.314,0.314,0.314,-0.003,-0.003,-0.003,-0.003
2013-04-24T21:00:00Z,0.33,0.33,0.33,0.33,-0.003,-0.003,-0.003,-0.003
2013-04-25T21:00:00Z,0.303,0.303,0.303,0.303,0.015,0.015,0.015,0.015
2013-04-28T21:00:00Z,0.311,0.311,0.311,0.311,0.016,0.016,0.016,0.016
2013-04-29T21:00:00Z,0.331,0.331,0.331,0.331,0.016,0.016,0.016,0.016
2013-05-01T21:00:00Z,0.28,0.28,0.28,0.28,0.017,0.017,0.017,0.017
2013-05-02T21:00:00Z,0.33,0.33,0.33,0.33,0.017,0.017,0.017,0.017
2013-05-05T21:00:00Z,0.324,0.324,0.324,0.324,0.011,0.011,0.011,0.011
2013-05-06T21:00:00Z,0.387,0.387,0.387,0.387,0.017,0.017,0.017,0.017
2013-05-07T21:00:00Z,0.345,0.345,0.345,0.345,0.018,0.018,0.018,0.018
2013-05-08T21:00:00Z,0.355,0.355,0.355,0.355,0.025,0.025,0.025,0.025
2013-05-09T21:00:00Z,0.446,0.446,0.446,0.446,0.013,0.013,0.013,0.013
2013-05-12T21:00:00Z,0.414,0.414,0.414,0.414,0.013,0.013,0.013,0.013
2013-05-13T21:00:00Z,0.419,0.419,0.419,0.419,0.013,0.013,0.013,0.013
2013-05-14T21:00:00Z,0.415,0.415,0.415,0.415,0.013,0.013,0.013,0.013
2013-05-15T21:00:00Z,0.362,0.362,0.362,0.362,0.025,0.025,0.025,0.025
2013-05-16T21:00:00Z,0.35,0.35,0.35,0.35,0.025,0.025,0.025,0.025
2013-05-19T21:00:00Z,0.398,0.398,0.398,0.398,0.039,0.039,0.039,0.039
2013-05-20T21:00:00Z,0.432,0.432,0.432,0.432,0.026,0.026,0.026,0.026
2013-05-21T21:00:00Z,0.411,0.411,0.411,0.411,0.031,0.031,0.031,0.031
2013-05-22T21:00:00Z,0.447,0.447,0.447,0.447,0.009,0.009,0.009,0.009
2013-05-23T21:00:00Z,0.439,0.439,0.439,0.439,0.009,0.009,0.009,0.009
2013-05-26T21:00:00Z,0.469,0.469,0.469,0.469,0.009,0.009,0.009,0.009
2013-05-27T21:00:00Z,0.502,0.502,0.502,0.502,-0.002,-0.002,-0.002,-0.002
2013-05-28T21:00:00Z,0.533,0.533,0.533,0.533,0.038,0.038,0.038,0.038
2013-05-29T21:00:00Z,0.52,0.52,0.52,0.52,NaN,NaN,NaN,NaN
2013-05-30T21:00:00Z,0.499,0.499,0.499,0.499,0.01,0.01,0.01,0.01
